DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
IBS,Faecalibacterium,"Differential analysis of microbes between groups showed that some taxa associated with the gut microbiome (Blautia, Faecalibacterium, Dorea, Bifidobacterium, Clostridium, Christensenella) are more prevalent in IBS patients compared to the general population.",What is the relation between IBS and Faecalibacterium?,positive
IBS,Bifidobacterium,"Differential analysis of microbes between groups showed that some taxa associated with the gut microbiome (Blautia, Faecalibacterium, Dorea, Bifidobacterium, Clostridium, Christensenella) are more prevalent in IBS patients compared to the general population.",What is the relation between IBS and Bifidobacterium?,relate
IBS,Clostridium,"Differential analysis of microbes between groups showed that some taxa associated with the gut microbiome (Blautia, Faecalibacterium, Dorea, Bifidobacterium, Clostridium, Christensenella) are more prevalent in IBS patients compared to the general population.",What is the relation between IBS and Clostridium?,positive
IBS,Blautia,"Differential analysis of microbes between groups showed that some taxa associated with the gut microbiome (Blautia, Faecalibacterium, Dorea, Bifidobacterium, Clostridium, Christensenella) are more prevalent in IBS patients compared to the general population.",What is the relation between IBS and Blautia?,positive
IBS,Dorea,"Differential analysis of microbes between groups showed that some taxa associated with the gut microbiome (Blautia, Faecalibacterium, Dorea, Bifidobacterium, Clostridium, Christensenella) are more prevalent in IBS patients compared to the general population.",What is the relation between IBS and Dorea?,positive
PD,Desulfovibrio,"Alpha-syn aggregation has been suggested to be induced in the gut cells by pathogenic gut microbes such as Desulfovibrio bacteria, which has been shown to be associated with PD.",What is the relation between PD and Desulfovibrio?,relate
ten,Desulfovibrio,"METHODS: Fecal samples of ten PD patients and their healthy spouses were collected for molecular detection of Desulfovibrio species, followed by bacterial isolation.",What is the relation between ten and Desulfovibrio?,positive
PD,Desulfovibrio,"METHODS: Fecal samples of ten PD patients and their healthy spouses were collected for molecular detection of Desulfovibrio species, followed by bacterial isolation.",What is the relation between PD and Desulfovibrio?,positive
PD,Desulfovibrio,"RESULTS AND DISCUSSION: Statistical analysis revealed that worms fed Desulfovibrio bacteria from PD patients harbored significantly more (P<0.001, Kruskal-Wallis and Mann-Whitney U test) and larger alpha-syn aggregates (P<0.001) than worms fed Desulfovibrio bacteria from healthy individuals or worms fed E. coli strains.",What is the relation between PD and Desulfovibrio?,positive
PD,Desulfovibrio,"In addition, during similar follow-up time, worms fed Desulfovibrio strains from PD patients died in significantly higher quantities than worms fed E. coli LSR11 bacteria (P<0.01).",What is the relation between PD and Desulfovibrio?,positive
PD,Desulfovibrio,These results suggest that Desulfovibrio bacteria contribute to PD development by inducing alpha-syn aggregation.,What is the relation between PD and Desulfovibrio?,positive
tuberculosis,Mycobacterium,"BACKGROUND: The toxin-antitoxin system is a genetic element that is highly present in Mycobacterium tuberculosis (MTB), the causative agent of tuberculosis.",What is the relation between tuberculosis and Mycobacterium?,relate
Tuberculosis,bacilli,"M. Tuberculosis has more classes of TA loci than non-tubercle bacilli and other microbes, including VapBC, HigBA, MazEF, ParDE, RelBE, MbcTA, PemIK, DarTG, MenTA, one tripartite type II TAC chaperone system, and hypothetical proteins.",What is the relation between Tuberculosis and bacilli?,relate
tuberculosis,mycobacterium,AIMS: The study aims to demonstrate the genes encoded toxin-antitoxin system in mycobacterium tuberculosis strains from clinical samples.,What is the relation between tuberculosis and mycobacterium?,positive
tuberculosis,bacilli,"MATERIALS AND METHODS: The pulmonary and extra-pulmonary tuberculosis clinical samples were collected, and smear microscopy (Ziehl-Neelsen staining) was performed for the detection of high bacilli (3+) count, followed by nucleic acid amplification assay.",What is the relation between tuberculosis and bacilli?,negative
Mg,Escherichia coli,"The Mg-doped ZnO NPs exhibited significant antimicrobial activity, with a maximum zone of inhibition measuring 24 and 22 mm against Escherichia coli and Salmonella typhi, respectively.",What is the relation between Mg and Escherichia coli?,negative
Mg,Salmonella typhi,"The Mg-doped ZnO NPs exhibited significant antimicrobial activity, with a maximum zone of inhibition measuring 24 and 22 mm against Escherichia coli and Salmonella typhi, respectively.",What is the relation between Mg and Salmonella typhi?,negative
Mg,Escherichia,"The Mg-doped ZnO NPs exhibited significant antimicrobial activity, with a maximum zone of inhibition measuring 24 and 22 mm against Escherichia coli and Salmonella typhi, respectively.",What is the relation between Mg and Escherichia?,negative
Mg,Salmonella,"The Mg-doped ZnO NPs exhibited significant antimicrobial activity, with a maximum zone of inhibition measuring 24 and 22 mm against Escherichia coli and Salmonella typhi, respectively.",What is the relation between Mg and Salmonella?,negative
pneumonia,Streptococcus pneumoniae,"In terms of 122 isolates of S. pneumonia, 5 isolates (4.1%) were penicillin-resistant Streptococcus pneumoniae (PRSP); meanwhile, 50 isolates (41.0%) were penicillin-intermediate Streptococcus pneumoniae (PISP).",What is the relation between pneumonia and Streptococcus pneumoniae?,relate
pneumonia,Streptococcus,"In terms of 122 isolates of S. pneumonia, 5 isolates (4.1%) were penicillin-resistant Streptococcus pneumoniae (PRSP); meanwhile, 50 isolates (41.0%) were penicillin-intermediate Streptococcus pneumoniae (PISP).",What is the relation between pneumonia and Streptococcus?,relate
asthma,Corynebacterium,"Rothia mucilaginosa is less abundant, and Corynebacterium tuberculostearicum showed higher abundance in the SARS-CoV-2 asthma group.",What is the relation between asthma and Corynebacterium?,negative
SARS,Corynebacterium,"Rothia mucilaginosa is less abundant, and Corynebacterium tuberculostearicum showed higher abundance in the SARS-CoV-2 asthma group.",What is the relation between SARS and Corynebacterium?,negative
asthma,Streptococcus,The increase in Streptococcus at the genus level in the SARS-CoV-2-asthma group is evidence of discriminating the subgroups.,What is the relation between asthma and Streptococcus?,relate
SARS,Streptococcus,The increase in Streptococcus at the genus level in the SARS-CoV-2-asthma group is evidence of discriminating the subgroups.,What is the relation between SARS and Streptococcus?,relate
leukemia,Candida albicans,"As copper(I) and silver(I) coordination complexes, several of the ATFs showed antimicrobial activity against gram positive Staphylococcus aureus and Bacillus subtilis cells (IC50聽鈭悸?-20聽渭M) and the fungi Candida albicans (IC50聽鈭悸?-12聽渭M); as well as cytotoxicity against both lung carcinoma A549 cells and lymphoblastic leukemia K562 cells.",What is the relation between leukemia and Candida albicans?,negative
leukemia,Staphylococcus,"As copper(I) and silver(I) coordination complexes, several of the ATFs showed antimicrobial activity against gram positive Staphylococcus aureus and Bacillus subtilis cells (IC50聽鈭悸?-20聽渭M) and the fungi Candida albicans (IC50聽鈭悸?-12聽渭M); as well as cytotoxicity against both lung carcinoma A549 cells and lymphoblastic leukemia K562 cells.",What is the relation between leukemia and Staphylococcus?,negative
leukemia,Bacillus,"As copper(I) and silver(I) coordination complexes, several of the ATFs showed antimicrobial activity against gram positive Staphylococcus aureus and Bacillus subtilis cells (IC50聽鈭悸?-20聽渭M) and the fungi Candida albicans (IC50聽鈭悸?-12聽渭M); as well as cytotoxicity against both lung carcinoma A549 cells and lymphoblastic leukemia K562 cells.",What is the relation between leukemia and Bacillus?,negative
obesity,Oscillospira,"Most differentially abundant genera (Odoribacter, Oscillospira, Akkermansia, Alistipes, and Bacteroides) were depleted in obesity, indicating a deficiency of commensal microbes in the obese gut microbiome.",What is the relation between obesity and Oscillospira?,relate
obesity,Akkermansia,"Most differentially abundant genera (Odoribacter, Oscillospira, Akkermansia, Alistipes, and Bacteroides) were depleted in obesity, indicating a deficiency of commensal microbes in the obese gut microbiome.",What is the relation between obesity and Akkermansia?,relate
obesity,Bacteroides,"Most differentially abundant genera (Odoribacter, Oscillospira, Akkermansia, Alistipes, and Bacteroides) were depleted in obesity, indicating a deficiency of commensal microbes in the obese gut microbiome.",What is the relation between obesity and Bacteroides?,relate
obesity,Odoribacter,"Most differentially abundant genera (Odoribacter, Oscillospira, Akkermansia, Alistipes, and Bacteroides) were depleted in obesity, indicating a deficiency of commensal microbes in the obese gut microbiome.",What is the relation between obesity and Odoribacter?,relate
obesity,Alistipes,"Most differentially abundant genera (Odoribacter, Oscillospira, Akkermansia, Alistipes, and Bacteroides) were depleted in obesity, indicating a deficiency of commensal microbes in the obese gut microbiome.",What is the relation between obesity and Alistipes?,relate
obese,Oscillospira,"Most differentially abundant genera (Odoribacter, Oscillospira, Akkermansia, Alistipes, and Bacteroides) were depleted in obesity, indicating a deficiency of commensal microbes in the obese gut microbiome.",What is the relation between obese and Oscillospira?,relate
obese,Akkermansia,"Most differentially abundant genera (Odoribacter, Oscillospira, Akkermansia, Alistipes, and Bacteroides) were depleted in obesity, indicating a deficiency of commensal microbes in the obese gut microbiome.",What is the relation between obese and Akkermansia?,relate
