DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
high-fiber diet,Coriobacteriaceae,"In animal studies, cellulose was shown to increase microbial richness (77) and change the microbiota composition, with a higher abundance ofPeptostreptococcaceae, Clostridiaceae, Akkermansia, Parabacteroides, Lactobacillus, Clostridium, Eisenbergiella, Marvinbryantia, Romboutsia, Helicobacter, Enterococcus, orDesulfovibrio(77–79) and lowerSutterellaceae, Lactobacillaceae, orCoriobacteriaceae(77,93).",What is the relationship between high-fiber diet and Coriobacteriaceae?,negative
a fermented dairy drink,Holdemania,"In another recent human study, consumption of a fermented dairy drink for 4 wk increased the abundance of a few specific genera (e.g.,Holdemania, Gordonibacter, Lactobacillus, an unclassifiedMollicutes(RF-9), and two unclassified genera fromClostridiales), and enriched some functions of the resident microbes",What is the relationship between a fermented dairy drink and Holdemania?,positive
a fermented dairy drink,Gordonibacter,"In another recent human study, consumption of a fermented dairy drink for 4 wk increased the abundance of a few specific genera (e.g.,Holdemania, Gordonibacter, Lactobacillus, an unclassifiedMollicutes(RF-10), and two unclassified genera fromClostridiales), and enriched some functions of the resident microbes",What is the relationship between a fermented dairy drink and Gordonibacter?,positive
a fermented dairy drink,Lactobacillus,"In another recent human study, consumption of a fermented dairy drink for 4 wk increased the abundance of a few specific genera (e.g.,Holdemania, Gordonibacter, Lactobacillus, an unclassifiedMollicutes(RF-11), and two unclassified genera fromClostridiales), and enriched some functions of the resident microbes",What is the relationship between a fermented dairy drink and Lactobacillus?,positive
fermented plants,Bacteroides,"Additionally, an association between fermented food consumption and abundance of bacterial taxa (e.g.,Bacteroides, Pseudomonas, Dorea, Prevotella, Oscillospira, F. prausnitzii, Lactobacillusspp.) as well as microbial functional profile was reported",What is the relationship between fermented plants and Bacteroides?,positive
fermented plants,Pseudomonas,"Additionally, an association between fermented food consumption and abundance of bacterial taxa (e.g.,Bacteroides, Pseudomonas, Dorea, Prevotella, Oscillospira, F. prausnitzii, Lactobacillusspp.) as well as microbial functional profile was reported",What is the relationship between fermented plants and Pseudomonas?,positive
fermented plants,Dorea,"Additionally, an association between fermented food consumption and abundance of bacterial taxa (e.g.,Bacteroides, Pseudomonas, Dorea, Prevotella, Oscillospira, F. prausnitzii, Lactobacillusspp.) as well as microbial functional profile was reported",What is the relationship between fermented plants and Dorea?,positive
fermented plants,Prevotella,"Additionally, an association between fermented food consumption and abundance of bacterial taxa (e.g.,Bacteroides, Pseudomonas, Dorea, Prevotella, Oscillospira, F. prausnitzii, Lactobacillusspp.) as well as microbial functional profile was reported",What is the relationship between fermented plants and Prevotella?,positive
fermented plants,Oscillospira,"Additionally, an association between fermented food consumption and abundance of bacterial taxa (e.g.,Bacteroides, Pseudomonas, Dorea, Prevotella, Oscillospira, F. prausnitzii, Lactobacillusspp.) as well as microbial functional profile was reported",What is the relationship between fermented plants and Oscillospira?,positive
fermented plants,Faecalibacterium prausnitzii,"Additionally, an association between fermented food consumption and abundance of bacterial taxa (e.g.,Bacteroides, Pseudomonas, Dorea, Prevotella, Oscillospira, F. prausnitzii, Lactobacillusspp.) as well as microbial functional profile was reported",What is the relationship between fermented plants and Faecalibacterium prausnitzii?,positive
fermented plants,Lactobacillus spp.(Lactobacillus sp.),"Additionally, an association between fermented food consumption and abundance of bacterial taxa (e.g.,Bacteroides, Pseudomonas, Dorea, Prevotella, Oscillospira, F. prausnitzii, Lactobacillusspp.) as well as microbial functional profile was reported",What is the relationship between fermented plants and Lactobacillus spp.(Lactobacillus sp.)?,positive
Mediterranean diet,Clostridiumcluster XIVa(Peptostreptococcaceae),"More recent human intervention studies also support the beneficial impact of a Mediterranean diet on microbiota profiles. Greater microbial diversity as well as higher abundance of health-promoting bacterial taxa (i.e.,Clostridiumcluster XIVa,F. prausnitzii, Roseburia, Eubacterium, B. thetaiotaomicron, Parabacteroides distasonis, Bifidobacterium adolescentis, andBifidobacterium longum) have been associated with consumption of the Mediterranean diet",What is the relationship between Mediterranean diet and Clostridiumcluster XIVa(Peptostreptococcaceae)?,positive
Mediterranean diet,Faecalibacterium prausnitzii,"More recent human intervention studies also support the beneficial impact of a Mediterranean diet on microbiota profiles. Greater microbial diversity as well as higher abundance of health-promoting bacterial taxa (i.e.,Clostridiumcluster XIVa,F. prausnitzii, Roseburia, Eubacterium, B. thetaiotaomicron, Parabacteroides distasonis, Bifidobacterium adolescentis, andBifidobacterium longum) have been associated with consumption of the Mediterranean diet",What is the relationship between Mediterranean diet and Faecalibacterium prausnitzii?,positive
Mediterranean diet,Roseburia,"More recent human intervention studies also support the beneficial impact of a Mediterranean diet on microbiota profiles. Greater microbial diversity as well as higher abundance of health-promoting bacterial taxa (i.e.,Clostridiumcluster XIVa,F. prausnitzii, Roseburia, Eubacterium, B. thetaiotaomicron, Parabacteroides distasonis, Bifidobacterium adolescentis, andBifidobacterium longum) have been associated with consumption of the Mediterranean diet",What is the relationship between Mediterranean diet and Roseburia?,positive
Mediterranean diet,Eubacterium,"More recent human intervention studies also support the beneficial impact of a Mediterranean diet on microbiota profiles. Greater microbial diversity as well as higher abundance of health-promoting bacterial taxa (i.e.,Clostridiumcluster XIVa,F. prausnitzii, Roseburia, Eubacterium, B. thetaiotaomicron, Parabacteroides distasonis, Bifidobacterium adolescentis, andBifidobacterium longum) have been associated with consumption of the Mediterranean diet",What is the relationship between Mediterranean diet and Eubacterium?,positive
Mediterranean diet,Bacteroides thetaiotaomicron,"More recent human intervention studies also support the beneficial impact of a Mediterranean diet on microbiota profiles. Greater microbial diversity as well as higher abundance of health-promoting bacterial taxa (i.e.,Clostridiumcluster XIVa,F. prausnitzii, Roseburia, Eubacterium, B. thetaiotaomicron, Parabacteroides distasonis, Bifidobacterium adolescentis, andBifidobacterium longum) have been associated with consumption of the Mediterranean diet",What is the relationship between Mediterranean diet and Bacteroides thetaiotaomicron?,positive
Mediterranean diet,Parabacteroides distasonis,"More recent human intervention studies also support the beneficial impact of a Mediterranean diet on microbiota profiles. Greater microbial diversity as well as higher abundance of health-promoting bacterial taxa (i.e.,Clostridiumcluster XIVa,F. prausnitzii, Roseburia, Eubacterium, B. thetaiotaomicron, Parabacteroides distasonis, Bifidobacterium adolescentis, andBifidobacterium longum) have been associated with consumption of the Mediterranean diet",What is the relationship between Mediterranean diet and Parabacteroides distasonis?,positive
Mediterranean diet,Bifidobacterium adolescentis,"More recent human intervention studies also support the beneficial impact of a Mediterranean diet on microbiota profiles. Greater microbial diversity as well as higher abundance of health-promoting bacterial taxa (i.e.,Clostridiumcluster XIVa,F. prausnitzii, Roseburia, Eubacterium, B. thetaiotaomicron, Parabacteroides distasonis, Bifidobacterium adolescentis, andBifidobacterium longum) have been associated with consumption of the Mediterranean diet",What is the relationship between Mediterranean diet and Bifidobacterium adolescentis?,positive
Mediterranean diet,Bifidobacterium longum,"More recent human intervention studies also support the beneficial impact of a Mediterranean diet on microbiota profiles. Greater microbial diversity as well as higher abundance of health-promoting bacterial taxa (i.e.,Clostridiumcluster XIVa,F. prausnitzii, Roseburia, Eubacterium, B. thetaiotaomicron, Parabacteroides distasonis, Bifidobacterium adolescentis, andBifidobacterium longum) have been associated with consumption of the Mediterranean diet",What is the relationship between Mediterranean diet and Bifidobacterium longum?,positive
Plant-based diets,Bifidobacterium,"Although these differences could also be attributed to other environmental factors, studies comparing vegetarians with nonvegetarians revealed similar microbial profiles. Thus, characteristic patterns in the gut microbiota for these types of diets include high bacterial richness, increased numbers ofBifidobacterium, Lactobacillus, Ruminococcus, Eubacterium rectale, Roseburia, Prevotella, F. prausnitzii, andAnaerostipes, but lower abundance ofClostridium sensu stricto, C. perfringens, C. histolyticum, andOdoribacter",What is the relationship between Plant-based diets and Bifidobacterium?,positive
Plant-based diets,Lactobacillus,"Although these differences could also be attributed to other environmental factors, studies comparing vegetarians with nonvegetarians revealed similar microbial profiles. Thus, characteristic patterns in the gut microbiota for these types of diets include high bacterial richness, increased numbers ofBifidobacterium, Lactobacillus, Ruminococcus, Eubacterium rectale, Roseburia, Prevotella, F. prausnitzii, andAnaerostipes, but lower abundance ofClostridium sensu stricto, C. perfringens, C. histolyticum, andOdoribacter",What is the relationship between Plant-based diets and Lactobacillus?,positive
Plant-based diets,Ruminococcus,"Although these differences could also be attributed to other environmental factors, studies comparing vegetarians with nonvegetarians revealed similar microbial profiles. Thus, characteristic patterns in the gut microbiota for these types of diets include high bacterial richness, increased numbers ofBifidobacterium, Lactobacillus, Ruminococcus, Eubacterium rectale, Roseburia, Prevotella, F. prausnitzii, andAnaerostipes, but lower abundance ofClostridium sensu stricto, C. perfringens, C. histolyticum, andOdoribacter",What is the relationship between Plant-based diets and Ruminococcus?,positive
Plant-based diets,Eubacterium rectale(Agathobacter rectalis),"Although these differences could also be attributed to other environmental factors, studies comparing vegetarians with nonvegetarians revealed similar microbial profiles. Thus, characteristic patterns in the gut microbiota for these types of diets include high bacterial richness, increased numbers ofBifidobacterium, Lactobacillus, Ruminococcus, Eubacterium rectale, Roseburia, Prevotella, F. prausnitzii, andAnaerostipes, but lower abundance ofClostridium sensu stricto, C. perfringens, C. histolyticum, andOdoribacter",What is the relationship between Plant-based diets and Eubacterium rectale(Agathobacter rectalis)?,positive
